"%Röttgers, R. McKee, D, and Utschig, C, ""Temperature and salinity correction coefficients for light absorption by water in the visible to infrared spectral region"", Opt. Express, 2014";;;;;
% Data of the salinity correction coefficient for the light absorption coefficent of water, PsiS, given for a NaCl solution and artificial seawater (ASW);;;;;
"% s.d., standard deviation; n.d., not determined";;;;;
% remark: data of Fig. 8, for ASW <500 nm not reliable due to contamination problems, data combined with those calculated from reference [21], see paper for details;;;;;
wavelength (nm);wavenumber (1/cm);PsiS (1/m*L/g) NaCl;s.d. (1/m*L/g) NaCl;PsiS (1/m*L/g) ASW;s.d. (1/m*L/g) ASW
618;16181.23;9.59E-05;3.96E-06;8.44E-05;7.00E-06
620;16129.03;9.35E-05;3.40E-06;8.38E-05;7.55E-06
622;16077.17;9.07E-05;2.32E-06;8.06E-05;6.76E-06
624;16025.64;8.95E-05;2.35E-06;8.15E-05;7.55E-06
626;15974.44;8.72E-05;2.94E-06;7.80E-05;7.33E-06
628;15923.57;8.46E-05;1.67E-06;7.71E-05;8.04E-06
630;15873.02;8.35E-05;2.59E-06;7.65E-05;7.95E-06
632;15822.78;8.19E-05;2.77E-06;7.55E-05;7.71E-06
634;15772.87;7.96E-05;1.26E-06;7.32E-05;8.57E-06
636;15723.27;7.89E-05;2.14E-06;7.34E-05;7.66E-06
638;15673.98;7.66E-05;2.60E-06;7.38E-05;8.27E-06
640;15625;7.26E-05;2.69E-06;7.02E-05;7.78E-06
642;15576.32;7.12E-05;3.75E-06;6.86E-05;7.72E-06
644;15527.95;6.75E-05;2.88E-06;6.65E-05;7.27E-06
646;15479.88;6.49E-05;3.35E-06;6.62E-05;7.56E-06
648;15432.1;6.19E-05;3.40E-06;6.31E-05;8.40E-06
650;15384.62;5.85E-05;2.22E-06;5.99E-05;7.67E-06
652;15337.42;5.14E-05;2.97E-06;5.35E-05;7.30E-06
654;15290.52;4.14E-05;4.18E-06;4.23E-05;8.05E-06
656;15243.9;2.88E-05;1.99E-06;2.93E-05;8.57E-06
658;15197.57;3.02E-05;1.69E-06;2.86E-05;7.11E-06
660;15151.52;4.22E-05;1.77E-06;4.07E-05;7.99E-06
662;15105.74;5.63E-05;2.56E-06;5.33E-05;8.32E-06
664;15060.24;6.40E-05;2.84E-06;6.20E-05;9.11E-06
666;15015.02;6.23E-05;2.05E-06;6.35E-05;8.60E-06
668;14970.06;6.19E-05;1.99E-06;6.39E-05;8.22E-06
670;14925.37;5.95E-05;1.57E-06;6.20E-05;6.97E-06
672;14880.95;5.17E-05;4.88E-06;5.77E-05;8.82E-06
674;14836.8;4.36E-05;2.56E-06;4.97E-05;9.21E-06
676;14792.9;3.44E-05;3.34E-06;4.21E-05;7.62E-06
678;14749.26;2.29E-05;2.85E-06;3.53E-05;1.00E-05
680;14705.88;9.45E-06;5.03E-06;2.50E-05;9.58E-06
682;14662.76;-5.53E-07;3.39E-06;1.37E-05;9.52E-06
684;14619.88;-1.17E-05;3.08E-06;3.11E-06;9.43E-06
686;14577.26;-2.49E-05;3.93E-06;-8.08E-06;9.53E-06
688;14534.88;-3.48E-05;6.10E-06;-2.04E-05;8.41E-06
690;14492.75;-5.04E-05;3.66E-06;-3.38E-05;8.51E-06
692;14450.87;-6.61E-05;4.71E-06;-4.67E-05;8.90E-06
694;14409.22;-8.15E-05;5.89E-06;-6.29E-05;8.46E-06
696;14367.82;-1.02E-04;4.79E-06;-7.76E-05;6.52E-06
698;14326.65;-1.21E-04;3.72E-06;-9.96E-05;9.93E-06
700;14285.71;-1.34E-04;5.30E-06;-1.16E-04;9.62E-06
702;14245.01;-1.46E-04;6.83E-06;-1.30E-04;9.61E-06
704;14204.55;-1.59E-04;2.07E-06;-1.39E-04;1.13E-05
706;14164.31;-1.61E-04;3.31E-06;-1.50E-04;1.35E-05
708;14124.29;-1.69E-04;1.74E-05;-1.64E-04;9.34E-06
710;14084.51;-1.80E-04;1.69E-05;-1.81E-04;1.20E-05
712;14044.94;-1.78E-04;1.78E-05;-1.81E-04;1.13E-05
714;14005.6;-1.71E-04;1.14E-05;-1.89E-04;1.00E-05
716;13966.48;-1.76E-04;8.79E-06;-1.94E-04;1.04E-05
718;13927.58;-1.59E-04;1.64E-05;-1.84E-04;1.84E-05
720;13888.89;-1.51E-04;1.67E-05;-1.84E-04;2.06E-05
722;13850.42;-1.40E-04;4.59E-05;-1.92E-04;2.10E-05
724;13812.15;-1.40E-04;2.16E-05;-2.03E-04;1.91E-05
726;13774.1;-1.43E-04;6.29E-05;-2.10E-04;4.11E-05
728;13736.26;-2.12E-04;4.47E-05;-3.06E-04;4.21E-05
