"%Röttgers, R. McKee, D, and Utschig, C, ""Temperature and salinity correction coefficients for light absorption by water in the visible to infrared spectral region"", Opt. Express, 2014";;;;;
% Data of the salinity correction coefficient for the light absorption coefficent of water, PsiS, given for a NaCl solution and artificial seawater (ASW);;;;;
"% s.d., standard deviation; n.d., not determined";;;;;
% remark: data of Fig. 8, for ASW <500 nm not reliable due to contamination problems, data combined with those calculated from reference [21], see paper for details;;;;;
wavelength (nm);wavenumber (1/cm);PsiS (1/m*L/g) NaCl;s.d. (1/m*L/g) NaCl;PsiS (1/m*L/g) ASW;s.d. (1/m*L/g) ASW
6286;1590.84;n.d.;n.d.;-2.97E+01;n.d.
6288;1590.33;n.d.;n.d.;-3.03E+01;n.d.
6290;1589.83;n.d.;n.d.;-3.08E+01;n.d.
6292;1589.32;n.d.;n.d.;-3.13E+01;n.d.
6294;1588.81;n.d.;n.d.;-3.18E+01;n.d.
6296;1588.31;n.d.;n.d.;-3.22E+01;n.d.
6298;1587.81;n.d.;n.d.;-3.27E+01;n.d.
6300;1587.3;n.d.;n.d.;-3.31E+01;n.d.
6302;1586.8;n.d.;n.d.;-3.34E+01;n.d.
6304;1586.29;n.d.;n.d.;-3.38E+01;n.d.
6306;1585.79;n.d.;n.d.;-3.42E+01;n.d.
6308;1585.29;n.d.;n.d.;-3.45E+01;n.d.
6310;1584.79;n.d.;n.d.;-3.48E+01;n.d.
6312;1584.28;n.d.;n.d.;-3.51E+01;n.d.
6314;1583.78;n.d.;n.d.;-3.54E+01;n.d.
6316;1583.28;n.d.;n.d.;-3.56E+01;n.d.
6318;1582.78;n.d.;n.d.;-3.59E+01;n.d.
6320;1582.28;n.d.;n.d.;-3.61E+01;n.d.
6322;1581.78;n.d.;n.d.;-3.63E+01;n.d.
6324;1581.28;n.d.;n.d.;-3.66E+01;n.d.
6326;1580.78;n.d.;n.d.;-3.67E+01;n.d.
6328;1580.28;n.d.;n.d.;-3.69E+01;n.d.
6330;1579.78;n.d.;n.d.;-3.71E+01;n.d.
6332;1579.28;n.d.;n.d.;-3.73E+01;n.d.
6334;1578.78;n.d.;n.d.;-3.74E+01;n.d.
6336;1578.28;n.d.;n.d.;-3.76E+01;n.d.
6338;1577.78;n.d.;n.d.;-3.77E+01;n.d.
6340;1577.29;n.d.;n.d.;-3.78E+01;n.d.
6342;1576.79;n.d.;n.d.;-3.79E+01;n.d.
6344;1576.29;n.d.;n.d.;-3.80E+01;n.d.
6346;1575.8;n.d.;n.d.;-3.81E+01;n.d.
6348;1575.3;n.d.;n.d.;-3.82E+01;n.d.
6350;1574.8;n.d.;n.d.;-3.83E+01;n.d.
6352;1574.31;n.d.;n.d.;-3.84E+01;n.d.
6354;1573.81;n.d.;n.d.;-3.85E+01;n.d.
6356;1573.32;n.d.;n.d.;-3.85E+01;n.d.
6358;1572.82;n.d.;n.d.;-3.86E+01;n.d.
6360;1572.33;n.d.;n.d.;-3.87E+01;n.d.
6362;1571.83;n.d.;n.d.;-3.87E+01;n.d.
6364;1571.34;n.d.;n.d.;-3.88E+01;n.d.
6366;1570.85;n.d.;n.d.;-3.88E+01;n.d.
6368;1570.35;n.d.;n.d.;-3.88E+01;n.d.
6370;1569.86;n.d.;n.d.;-3.88E+01;n.d.
6372;1569.37;n.d.;n.d.;-3.88E+01;n.d.
6374;1568.87;n.d.;n.d.;-3.89E+01;n.d.
6376;1568.38;n.d.;n.d.;-3.89E+01;n.d.
6378;1567.89;n.d.;n.d.;-3.89E+01;n.d.
6380;1567.4;n.d.;n.d.;-3.89E+01;n.d.
6382;1566.91;n.d.;n.d.;-3.89E+01;n.d.
6384;1566.42;n.d.;n.d.;-3.89E+01;n.d.
6386;1565.93;n.d.;n.d.;-3.89E+01;n.d.
6388;1565.44;n.d.;n.d.;-3.89E+01;n.d.
6390;1564.95;n.d.;n.d.;-3.89E+01;n.d.
6392;1564.46;n.d.;n.d.;-3.88E+01;n.d.
6394;1563.97;n.d.;n.d.;-3.88E+01;n.d.
6396;1563.48;n.d.;n.d.;-3.88E+01;n.d.
6398;1562.99;n.d.;n.d.;-3.88E+01;n.d.
6400;1562.5;n.d.;n.d.;-3.88E+01;n.d.
6402;1562.01;n.d.;n.d.;-3.88E+01;n.d.
6404;1561.52;n.d.;n.d.;-3.88E+01;n.d.
6406;1561.04;n.d.;n.d.;-3.88E+01;n.d.
6408;1560.55;n.d.;n.d.;-3.87E+01;n.d.
6410;1560.06;n.d.;n.d.;-3.87E+01;n.d.
6412;1559.58;n.d.;n.d.;-3.87E+01;n.d.
6414;1559.09;n.d.;n.d.;-3.86E+01;n.d.
6416;1558.6;n.d.;n.d.;-3.86E+01;n.d.
6418;1558.12;n.d.;n.d.;-3.85E+01;n.d.
6420;1557.63;n.d.;n.d.;-3.85E+01;n.d.
6422;1557.15;n.d.;n.d.;-3.84E+01;n.d.
6424;1556.66;n.d.;n.d.;-3.84E+01;n.d.
6426;1556.18;n.d.;n.d.;-3.83E+01;n.d.
6428;1555.69;n.d.;n.d.;-3.83E+01;n.d.
6430;1555.21;n.d.;n.d.;-3.82E+01;n.d.
6432;1554.73;n.d.;n.d.;-3.82E+01;n.d.
6434;1554.24;n.d.;n.d.;-3.81E+01;n.d.
6436;1553.76;n.d.;n.d.;-3.81E+01;n.d.
6438;1553.28;n.d.;n.d.;-3.80E+01;n.d.
6440;1552.8;n.d.;n.d.;-3.80E+01;n.d.
6442;1552.31;n.d.;n.d.;-3.79E+01;n.d.
6444;1551.83;n.d.;n.d.;-3.78E+01;n.d.
6446;1551.35;n.d.;n.d.;-3.78E+01;n.d.
6448;1550.87;n.d.;n.d.;-3.77E+01;n.d.
6450;1550.39;n.d.;n.d.;-3.76E+01;n.d.
6452;1549.91;n.d.;n.d.;-3.76E+01;n.d.
6454;1549.43;n.d.;n.d.;-3.75E+01;n.d.
6456;1548.95;n.d.;n.d.;-3.75E+01;n.d.
6458;1548.47;n.d.;n.d.;-3.74E+01;n.d.
6460;1547.99;n.d.;n.d.;-3.73E+01;n.d.
6462;1547.51;n.d.;n.d.;-3.73E+01;n.d.
6464;1547.03;n.d.;n.d.;-3.72E+01;n.d.
6466;1546.55;n.d.;n.d.;-3.71E+01;n.d.
6468;1546.07;n.d.;n.d.;-3.71E+01;n.d.
6470;1545.6;n.d.;n.d.;-3.70E+01;n.d.
6472;1545.12;n.d.;n.d.;-3.69E+01;n.d.
6474;1544.64;n.d.;n.d.;-3.69E+01;n.d.
6476;1544.16;n.d.;n.d.;-3.68E+01;n.d.
6478;1543.69;n.d.;n.d.;-3.68E+01;n.d.
6480;1543.21;n.d.;n.d.;-3.67E+01;n.d.
6482;1542.73;n.d.;n.d.;-3.67E+01;n.d.
6484;1542.26;n.d.;n.d.;-3.66E+01;n.d.
6486;1541.78;n.d.;n.d.;-3.65E+01;n.d.
6488;1541.31;n.d.;n.d.;-3.65E+01;n.d.
6490;1540.83;n.d.;n.d.;-3.65E+01;n.d.
6492;1540.36;n.d.;n.d.;-3.64E+01;n.d.
6494;1539.88;n.d.;n.d.;-3.63E+01;n.d.
6496;1539.41;n.d.;n.d.;-3.63E+01;n.d.
6498;1538.94;n.d.;n.d.;-3.62E+01;n.d.
6500;1538.46;n.d.;n.d.;-3.61E+01;n.d.
6502;1537.99;n.d.;n.d.;-3.61E+01;n.d.
6504;1537.52;n.d.;n.d.;-3.60E+01;n.d.
6506;1537.04;n.d.;n.d.;-3.59E+01;n.d.
6508;1536.57;n.d.;n.d.;-3.58E+01;n.d.
6510;1536.1;n.d.;n.d.;-3.58E+01;n.d.
6512;1535.63;n.d.;n.d.;-3.57E+01;n.d.
6514;1535.16;n.d.;n.d.;-3.56E+01;n.d.
6516;1534.68;n.d.;n.d.;-3.56E+01;n.d.
6518;1534.21;n.d.;n.d.;-3.55E+01;n.d.
6520;1533.74;n.d.;n.d.;-3.55E+01;n.d.
6522;1533.27;n.d.;n.d.;-3.54E+01;n.d.
6524;1532.8;n.d.;n.d.;-3.54E+01;n.d.
6526;1532.33;n.d.;n.d.;-3.53E+01;n.d.
6528;1531.86;n.d.;n.d.;-3.52E+01;n.d.
6530;1531.39;n.d.;n.d.;-3.52E+01;n.d.
6532;1530.92;n.d.;n.d.;-3.51E+01;n.d.
6534;1530.46;n.d.;n.d.;-3.51E+01;n.d.
6536;1529.99;n.d.;n.d.;-3.50E+01;n.d.
6538;1529.52;n.d.;n.d.;-3.50E+01;n.d.
6540;1529.05;n.d.;n.d.;-3.49E+01;n.d.
6542;1528.58;n.d.;n.d.;-3.48E+01;n.d.
6544;1528.12;n.d.;n.d.;-3.48E+01;n.d.
6546;1527.65;n.d.;n.d.;-3.47E+01;n.d.
6548;1527.18;n.d.;n.d.;-3.47E+01;n.d.
6550;1526.72;n.d.;n.d.;-3.46E+01;n.d.
6552;1526.25;n.d.;n.d.;-3.45E+01;n.d.
6554;1525.79;n.d.;n.d.;-3.45E+01;n.d.
6556;1525.32;n.d.;n.d.;-3.44E+01;n.d.
6558;1524.86;n.d.;n.d.;-3.43E+01;n.d.
6560;1524.39;n.d.;n.d.;-3.43E+01;n.d.
6562;1523.93;n.d.;n.d.;-3.42E+01;n.d.
6564;1523.46;n.d.;n.d.;-3.41E+01;n.d.
6566;1523;n.d.;n.d.;-3.41E+01;n.d.
6568;1522.53;n.d.;n.d.;-3.40E+01;n.d.
6570;1522.07;n.d.;n.d.;-3.40E+01;n.d.
6572;1521.61;n.d.;n.d.;-3.39E+01;n.d.
6574;1521.14;n.d.;n.d.;-3.38E+01;n.d.
6576;1520.68;n.d.;n.d.;-3.38E+01;n.d.
6578;1520.22;n.d.;n.d.;-3.37E+01;n.d.
6580;1519.76;n.d.;n.d.;-3.36E+01;n.d.
6582;1519.3;n.d.;n.d.;-3.36E+01;n.d.
6584;1518.83;n.d.;n.d.;-3.35E+01;n.d.
6586;1518.37;n.d.;n.d.;-3.34E+01;n.d.
6588;1517.91;n.d.;n.d.;-3.34E+01;n.d.
6590;1517.45;n.d.;n.d.;-3.33E+01;n.d.
6592;1516.99;n.d.;n.d.;-3.32E+01;n.d.
6594;1516.53;n.d.;n.d.;-3.32E+01;n.d.
6596;1516.07;n.d.;n.d.;-3.31E+01;n.d.
6598;1515.61;n.d.;n.d.;-3.30E+01;n.d.
6600;1515.15;n.d.;n.d.;-3.30E+01;n.d.
6602;1514.69;n.d.;n.d.;-3.29E+01;n.d.
6604;1514.23;n.d.;n.d.;-3.29E+01;n.d.
6606;1513.78;n.d.;n.d.;-3.28E+01;n.d.
6608;1513.32;n.d.;n.d.;-3.28E+01;n.d.
6610;1512.86;n.d.;n.d.;-3.27E+01;n.d.
6612;1512.4;n.d.;n.d.;-3.27E+01;n.d.
6614;1511.94;n.d.;n.d.;-3.26E+01;n.d.
6616;1511.49;n.d.;n.d.;-3.25E+01;n.d.
6618;1511.03;n.d.;n.d.;-3.25E+01;n.d.
6620;1510.57;n.d.;n.d.;-3.24E+01;n.d.
6622;1510.12;n.d.;n.d.;-3.23E+01;n.d.
6624;1509.66;n.d.;n.d.;-3.23E+01;n.d.
6626;1509.21;n.d.;n.d.;-3.22E+01;n.d.
6628;1508.75;n.d.;n.d.;-3.22E+01;n.d.
6630;1508.3;n.d.;n.d.;-3.21E+01;n.d.
6632;1507.84;n.d.;n.d.;-3.21E+01;n.d.
6634;1507.39;n.d.;n.d.;-3.20E+01;n.d.
6636;1506.93;n.d.;n.d.;-3.20E+01;n.d.
6638;1506.48;n.d.;n.d.;-3.19E+01;n.d.
6640;1506.02;n.d.;n.d.;-3.19E+01;n.d.
6642;1505.57;n.d.;n.d.;-3.18E+01;n.d.
6644;1505.12;n.d.;n.d.;-3.17E+01;n.d.
6646;1504.66;n.d.;n.d.;-3.17E+01;n.d.
6648;1504.21;n.d.;n.d.;-3.16E+01;n.d.
6650;1503.76;n.d.;n.d.;-3.15E+01;n.d.
6652;1503.31;n.d.;n.d.;-3.15E+01;n.d.
6654;1502.86;n.d.;n.d.;-3.14E+01;n.d.
6656;1502.4;n.d.;n.d.;-3.13E+01;n.d.
6658;1501.95;n.d.;n.d.;-3.13E+01;n.d.
6660;1501.5;n.d.;n.d.;-3.12E+01;n.d.
6662;1501.05;n.d.;n.d.;-3.12E+01;n.d.
6664;1500.6;n.d.;n.d.;-3.11E+01;n.d.
6666;1500.15;n.d.;n.d.;-3.10E+01;n.d.
6668;1499.7;n.d.;n.d.;-3.10E+01;n.d.
6670;1499.25;n.d.;n.d.;-3.09E+01;n.d.
6672;1498.8;n.d.;n.d.;-3.09E+01;n.d.
6674;1498.35;n.d.;n.d.;-3.08E+01;n.d.
6676;1497.9;n.d.;n.d.;-3.08E+01;n.d.
6678;1497.45;n.d.;n.d.;-3.07E+01;n.d.
6680;1497.01;n.d.;n.d.;-3.07E+01;n.d.
6682;1496.56;n.d.;n.d.;-3.06E+01;n.d.
6684;1496.11;n.d.;n.d.;-3.06E+01;n.d.
6686;1495.66;n.d.;n.d.;-3.05E+01;n.d.
6688;1495.22;n.d.;n.d.;-3.05E+01;n.d.
6690;1494.77;n.d.;n.d.;-3.04E+01;n.d.
6692;1494.32;n.d.;n.d.;-3.03E+01;n.d.
6694;1493.88;n.d.;n.d.;-3.03E+01;n.d.
6696;1493.43;n.d.;n.d.;-3.02E+01;n.d.
6698;1492.98;n.d.;n.d.;-3.01E+01;n.d.
6700;1492.54;n.d.;n.d.;-3.01E+01;n.d.
6702;1492.09;n.d.;n.d.;-3.00E+01;n.d.
6704;1491.65;n.d.;n.d.;-2.99E+01;n.d.
6706;1491.2;n.d.;n.d.;-2.99E+01;n.d.
6708;1490.76;n.d.;n.d.;-2.98E+01;n.d.
6710;1490.31;n.d.;n.d.;-2.98E+01;n.d.
6712;1489.87;n.d.;n.d.;-2.97E+01;n.d.
6714;1489.43;n.d.;n.d.;-2.97E+01;n.d.
6716;1488.98;n.d.;n.d.;-2.96E+01;n.d.
6718;1488.54;n.d.;n.d.;-2.95E+01;n.d.
6720;1488.1;n.d.;n.d.;-2.95E+01;n.d.
6722;1487.65;n.d.;n.d.;-2.94E+01;n.d.
6724;1487.21;n.d.;n.d.;-2.94E+01;n.d.
6726;1486.77;n.d.;n.d.;-2.94E+01;n.d.
6728;1486.33;n.d.;n.d.;-2.93E+01;n.d.
6730;1485.88;n.d.;n.d.;-2.93E+01;n.d.
6732;1485.44;n.d.;n.d.;-2.92E+01;n.d.
6734;1485;n.d.;n.d.;-2.92E+01;n.d.
6736;1484.56;n.d.;n.d.;-2.91E+01;n.d.
6738;1484.12;n.d.;n.d.;-2.90E+01;n.d.
6740;1483.68;n.d.;n.d.;-2.90E+01;n.d.
6742;1483.24;n.d.;n.d.;-2.89E+01;n.d.
6744;1482.8;n.d.;n.d.;-2.88E+01;n.d.
6746;1482.36;n.d.;n.d.;-2.88E+01;n.d.
6748;1481.92;n.d.;n.d.;-2.87E+01;n.d.
6750;1481.48;n.d.;n.d.;-2.87E+01;n.d.
6752;1481.04;n.d.;n.d.;-2.86E+01;n.d.
6754;1480.6;n.d.;n.d.;-2.86E+01;n.d.
6756;1480.17;n.d.;n.d.;-2.85E+01;n.d.
6758;1479.73;n.d.;n.d.;-2.85E+01;n.d.
6760;1479.29;n.d.;n.d.;-2.84E+01;n.d.
6762;1478.85;n.d.;n.d.;-2.84E+01;n.d.
6764;1478.42;n.d.;n.d.;-2.83E+01;n.d.
6766;1477.98;n.d.;n.d.;-2.82E+01;n.d.
6768;1477.54;n.d.;n.d.;-2.82E+01;n.d.
6770;1477.1;n.d.;n.d.;-2.81E+01;n.d.
6772;1476.67;n.d.;n.d.;-2.81E+01;n.d.
6774;1476.23;n.d.;n.d.;-2.80E+01;n.d.
6776;1475.8;n.d.;n.d.;-2.80E+01;n.d.
6778;1475.36;n.d.;n.d.;-2.79E+01;n.d.
6780;1474.93;n.d.;n.d.;-2.78E+01;n.d.
6782;1474.49;n.d.;n.d.;-2.78E+01;n.d.
6784;1474.06;n.d.;n.d.;-2.77E+01;n.d.
6786;1473.62;n.d.;n.d.;-2.77E+01;n.d.
6788;1473.19;n.d.;n.d.;-2.76E+01;n.d.
6790;1472.75;n.d.;n.d.;-2.76E+01;n.d.
6792;1472.32;n.d.;n.d.;-2.75E+01;n.d.
6794;1471.89;n.d.;n.d.;-2.75E+01;n.d.
6796;1471.45;n.d.;n.d.;-2.74E+01;n.d.
6798;1471.02;n.d.;n.d.;-2.74E+01;n.d.
6800;1470.59;n.d.;n.d.;-2.73E+01;n.d.
6802;1470.16;n.d.;n.d.;-2.73E+01;n.d.
6804;1469.72;n.d.;n.d.;-2.72E+01;n.d.
6806;1469.29;n.d.;n.d.;-2.71E+01;n.d.
6808;1468.86;n.d.;n.d.;-2.71E+01;n.d.
6810;1468.43;n.d.;n.d.;-2.70E+01;n.d.
6812;1468;n.d.;n.d.;-2.70E+01;n.d.
6814;1467.57;n.d.;n.d.;-2.69E+01;n.d.
6816;1467.14;n.d.;n.d.;-2.69E+01;n.d.
6818;1466.71;n.d.;n.d.;-2.68E+01;n.d.
6820;1466.28;n.d.;n.d.;-2.68E+01;n.d.
6822;1465.85;n.d.;n.d.;-2.67E+01;n.d.
6824;1465.42;n.d.;n.d.;-2.66E+01;n.d.
6826;1464.99;n.d.;n.d.;-2.66E+01;n.d.
6828;1464.56;n.d.;n.d.;-2.65E+01;n.d.
6830;1464.13;n.d.;n.d.;-2.65E+01;n.d.
6832;1463.7;n.d.;n.d.;-2.64E+01;n.d.
6834;1463.27;n.d.;n.d.;-2.64E+01;n.d.
6836;1462.84;n.d.;n.d.;-2.63E+01;n.d.
6838;1462.42;n.d.;n.d.;-2.62E+01;n.d.
6840;1461.99;n.d.;n.d.;-2.62E+01;n.d.
6842;1461.56;n.d.;n.d.;-2.61E+01;n.d.
6844;1461.13;n.d.;n.d.;-2.61E+01;n.d.
6846;1460.71;n.d.;n.d.;-2.60E+01;n.d.
6848;1460.28;n.d.;n.d.;-2.60E+01;n.d.
6850;1459.85;n.d.;n.d.;-2.60E+01;n.d.
6852;1459.43;n.d.;n.d.;-2.59E+01;n.d.
6854;1459;n.d.;n.d.;-2.59E+01;n.d.
6856;1458.58;n.d.;n.d.;-2.58E+01;n.d.
6858;1458.15;n.d.;n.d.;-2.58E+01;n.d.
6860;1457.73;n.d.;n.d.;-2.57E+01;n.d.
6862;1457.3;n.d.;n.d.;-2.56E+01;n.d.
6864;1456.88;n.d.;n.d.;-2.56E+01;n.d.
6866;1456.45;n.d.;n.d.;-2.55E+01;n.d.
6868;1456.03;n.d.;n.d.;-2.55E+01;n.d.
6870;1455.6;n.d.;n.d.;-2.54E+01;n.d.
6872;1455.18;n.d.;n.d.;-2.53E+01;n.d.
6874;1454.76;n.d.;n.d.;-2.53E+01;n.d.
6876;1454.33;n.d.;n.d.;-2.52E+01;n.d.
6878;1453.91;n.d.;n.d.;-2.51E+01;n.d.
6880;1453.49;n.d.;n.d.;-2.51E+01;n.d.
6882;1453.07;n.d.;n.d.;-2.50E+01;n.d.
6884;1452.64;n.d.;n.d.;-2.50E+01;n.d.
6886;1452.22;n.d.;n.d.;-2.49E+01;n.d.
6888;1451.8;n.d.;n.d.;-2.49E+01;n.d.
6890;1451.38;n.d.;n.d.;-2.48E+01;n.d.
6892;1450.96;n.d.;n.d.;-2.48E+01;n.d.
6894;1450.54;n.d.;n.d.;-2.47E+01;n.d.
6896;1450.12;n.d.;n.d.;-2.47E+01;n.d.
6898;1449.7;n.d.;n.d.;-2.46E+01;n.d.
6900;1449.28;n.d.;n.d.;-2.46E+01;n.d.
6902;1448.86;n.d.;n.d.;-2.45E+01;n.d.
6904;1448.44;n.d.;n.d.;-2.45E+01;n.d.
6906;1448.02;n.d.;n.d.;-2.44E+01;n.d.
6908;1447.6;n.d.;n.d.;-2.44E+01;n.d.
6910;1447.18;n.d.;n.d.;-2.43E+01;n.d.
6912;1446.76;n.d.;n.d.;-2.43E+01;n.d.
6914;1446.34;n.d.;n.d.;-2.42E+01;n.d.
6916;1445.92;n.d.;n.d.;-2.42E+01;n.d.
6918;1445.5;n.d.;n.d.;-2.41E+01;n.d.
6920;1445.09;n.d.;n.d.;-2.41E+01;n.d.
6922;1444.67;n.d.;n.d.;-2.41E+01;n.d.
6924;1444.25;n.d.;n.d.;-2.40E+01;n.d.
6926;1443.83;n.d.;n.d.;-2.40E+01;n.d.
6928;1443.42;n.d.;n.d.;-2.39E+01;n.d.
6930;1443;n.d.;n.d.;-2.39E+01;n.d.
6932;1442.59;n.d.;n.d.;-2.38E+01;n.d.
6934;1442.17;n.d.;n.d.;-2.38E+01;n.d.
6936;1441.75;n.d.;n.d.;-2.37E+01;n.d.
6938;1441.34;n.d.;n.d.;-2.37E+01;n.d.
6940;1440.92;n.d.;n.d.;-2.36E+01;n.d.
6942;1440.51;n.d.;n.d.;-2.36E+01;n.d.
6944;1440.09;n.d.;n.d.;-2.35E+01;n.d.
6946;1439.68;n.d.;n.d.;-2.35E+01;n.d.
6948;1439.26;n.d.;n.d.;-2.34E+01;n.d.
6950;1438.85;n.d.;n.d.;-2.34E+01;n.d.
6952;1438.43;n.d.;n.d.;-2.33E+01;n.d.
6954;1438.02;n.d.;n.d.;-2.33E+01;n.d.
6956;1437.61;n.d.;n.d.;-2.33E+01;n.d.
6958;1437.19;n.d.;n.d.;-2.32E+01;n.d.
6960;1436.78;n.d.;n.d.;-2.32E+01;n.d.
6962;1436.37;n.d.;n.d.;-2.31E+01;n.d.
6964;1435.96;n.d.;n.d.;-2.31E+01;n.d.
6966;1435.54;n.d.;n.d.;-2.30E+01;n.d.
6968;1435.13;n.d.;n.d.;-2.30E+01;n.d.
6970;1434.72;n.d.;n.d.;-2.29E+01;n.d.
6972;1434.31;n.d.;n.d.;-2.29E+01;n.d.
6974;1433.9;n.d.;n.d.;-2.28E+01;n.d.
6976;1433.49;n.d.;n.d.;-2.27E+01;n.d.
6978;1433.08;n.d.;n.d.;-2.27E+01;n.d.
6980;1432.66;n.d.;n.d.;-2.26E+01;n.d.
6982;1432.25;n.d.;n.d.;-2.26E+01;n.d.
6984;1431.84;n.d.;n.d.;-2.25E+01;n.d.
6986;1431.43;n.d.;n.d.;-2.25E+01;n.d.
6988;1431.02;n.d.;n.d.;-2.24E+01;n.d.
6990;1430.62;n.d.;n.d.;-2.24E+01;n.d.
6992;1430.21;n.d.;n.d.;-2.23E+01;n.d.
6994;1429.8;n.d.;n.d.;-2.23E+01;n.d.
6996;1429.39;n.d.;n.d.;-2.22E+01;n.d.
6998;1428.98;n.d.;n.d.;-2.22E+01;n.d.
7000;1428.57;n.d.;n.d.;-2.21E+01;n.d.
7002;1428.16;n.d.;n.d.;-2.21E+01;n.d.
7004;1427.76;n.d.;n.d.;-2.20E+01;n.d.
7006;1427.35;n.d.;n.d.;-2.20E+01;n.d.
7008;1426.94;n.d.;n.d.;-2.19E+01;n.d.
7010;1426.53;n.d.;n.d.;-2.19E+01;n.d.
7012;1426.13;n.d.;n.d.;-2.18E+01;n.d.
7014;1425.72;n.d.;n.d.;-2.18E+01;n.d.
7016;1425.31;n.d.;n.d.;-2.17E+01;n.d.
7018;1424.91;n.d.;n.d.;-2.17E+01;n.d.
7020;1424.5;n.d.;n.d.;-2.16E+01;n.d.
7022;1424.1;n.d.;n.d.;-2.16E+01;n.d.
7024;1423.69;n.d.;n.d.;-2.15E+01;n.d.
7026;1423.28;n.d.;n.d.;-2.15E+01;n.d.
7028;1422.88;n.d.;n.d.;-2.14E+01;n.d.
7030;1422.48;n.d.;n.d.;-2.14E+01;n.d.
7032;1422.07;n.d.;n.d.;-2.13E+01;n.d.
7034;1421.67;n.d.;n.d.;-2.13E+01;n.d.
7036;1421.26;n.d.;n.d.;-2.12E+01;n.d.
7038;1420.86;n.d.;n.d.;-2.12E+01;n.d.
7040;1420.45;n.d.;n.d.;-2.11E+01;n.d.
7042;1420.05;n.d.;n.d.;-2.11E+01;n.d.
7044;1419.65;n.d.;n.d.;-2.10E+01;n.d.
7046;1419.24;n.d.;n.d.;-2.10E+01;n.d.
7048;1418.84;n.d.;n.d.;-2.09E+01;n.d.
7050;1418.44;n.d.;n.d.;-2.09E+01;n.d.
7052;1418.04;n.d.;n.d.;-2.08E+01;n.d.
7054;1417.64;n.d.;n.d.;-2.08E+01;n.d.
7056;1417.23;n.d.;n.d.;-2.07E+01;n.d.
7058;1416.83;n.d.;n.d.;-2.07E+01;n.d.
7060;1416.43;n.d.;n.d.;-2.06E+01;n.d.
7062;1416.03;n.d.;n.d.;-2.06E+01;n.d.
7064;1415.63;n.d.;n.d.;-2.05E+01;n.d.
7066;1415.23;n.d.;n.d.;-2.05E+01;n.d.
7068;1414.83;n.d.;n.d.;-2.04E+01;n.d.
7070;1414.43;n.d.;n.d.;-2.04E+01;n.d.
7072;1414.03;n.d.;n.d.;-2.03E+01;n.d.
7074;1413.63;n.d.;n.d.;-2.03E+01;n.d.
7076;1413.23;n.d.;n.d.;-2.02E+01;n.d.
7078;1412.83;n.d.;n.d.;-2.02E+01;n.d.
7080;1412.43;n.d.;n.d.;-2.01E+01;n.d.
7082;1412.03;n.d.;n.d.;-2.01E+01;n.d.
7084;1411.63;n.d.;n.d.;-2.00E+01;n.d.
7086;1411.23;n.d.;n.d.;-2.00E+01;n.d.
7088;1410.84;n.d.;n.d.;-1.99E+01;n.d.
7090;1410.44;n.d.;n.d.;-1.99E+01;n.d.
7092;1410.04;n.d.;n.d.;-1.98E+01;n.d.
7094;1409.64;n.d.;n.d.;-1.98E+01;n.d.
7096;1409.24;n.d.;n.d.;-1.97E+01;n.d.
7098;1408.85;n.d.;n.d.;-1.97E+01;n.d.
7100;1408.45;n.d.;n.d.;-1.96E+01;n.d.
7102;1408.05;n.d.;n.d.;-1.96E+01;n.d.
7104;1407.66;n.d.;n.d.;-1.96E+01;n.d.
7106;1407.26;n.d.;n.d.;-1.95E+01;n.d.
7108;1406.87;n.d.;n.d.;-1.95E+01;n.d.
7110;1406.47;n.d.;n.d.;-1.94E+01;n.d.
7112;1406.07;n.d.;n.d.;-1.94E+01;n.d.
7114;1405.68;n.d.;n.d.;-1.94E+01;n.d.
7116;1405.28;n.d.;n.d.;-1.93E+01;n.d.
7118;1404.89;n.d.;n.d.;-1.93E+01;n.d.
7120;1404.49;n.d.;n.d.;-1.92E+01;n.d.
7122;1404.1;n.d.;n.d.;-1.92E+01;n.d.
7124;1403.71;n.d.;n.d.;-1.92E+01;n.d.
7126;1403.31;n.d.;n.d.;-1.91E+01;n.d.
7128;1402.92;n.d.;n.d.;-1.91E+01;n.d.
7130;1402.52;n.d.;n.d.;-1.90E+01;n.d.
7132;1402.13;n.d.;n.d.;-1.90E+01;n.d.
7134;1401.74;n.d.;n.d.;-1.90E+01;n.d.
7136;1401.35;n.d.;n.d.;-1.89E+01;n.d.
7138;1400.95;n.d.;n.d.;-1.89E+01;n.d.
7140;1400.56;n.d.;n.d.;-1.88E+01;n.d.
7142;1400.17;n.d.;n.d.;-1.88E+01;n.d.
7144;1399.78;n.d.;n.d.;-1.88E+01;n.d.
7146;1399.38;n.d.;n.d.;-1.87E+01;n.d.
7148;1398.99;n.d.;n.d.;-1.87E+01;n.d.
7150;1398.6;n.d.;n.d.;-1.87E+01;n.d.
7152;1398.21;n.d.;n.d.;-1.86E+01;n.d.
7154;1397.82;n.d.;n.d.;-1.86E+01;n.d.
7156;1397.43;n.d.;n.d.;-1.86E+01;n.d.
7158;1397.04;n.d.;n.d.;-1.85E+01;n.d.
7160;1396.65;n.d.;n.d.;-1.85E+01;n.d.
7162;1396.26;n.d.;n.d.;-1.85E+01;n.d.
7164;1395.87;n.d.;n.d.;-1.84E+01;n.d.
7166;1395.48;n.d.;n.d.;-1.84E+01;n.d.
7168;1395.09;n.d.;n.d.;-1.84E+01;n.d.
